source,target,text,url
FlamengueiroPB,giaco_iaco,"⚽️ ""Felicissimi del contributo di @gabigol""

🤝 ""Noi ci siamo, stiamo trattando il suo acquisto con l'@Inter""

🎉 ""Che gioia il Doblete. Grande trionfo col @RiverPlate""

Per @TuttoMercatoWeb bella chiacchierata col presidente del @Flamengo, R. Landim ⬇️
https://t.co/7qEpEBAI9R",https://twitter.com/FlamengueiroPB/status/1200392323869429765
Thamire05600149,_dudapoeys,"em dezembro de 81... ❤️🖤 @Flamengo 
@gabigol https://t.co/PHKSHRL1lT",https://twitter.com/Thamire05600149/status/1200419179544895488
marialu18985296,_viviancs,"agora é sério, alguém precisa parar o flamengo 

gabigol com uns dread doido, rodinei me surge com aquela cabelo que não sei nem explicar, bruno henrique com aquele topete e risquinho, reinier só com metade do bigode e agora me vem o diego alves, sinceramente kkkkkkk difícil https://t.co/nZni57PYnq",https://twitter.com/marialu18985296/status/1200410749769781248
EuclidesFla,giaco_iaco,"⚽️ ""Felicissimi del contributo di @gabigol""

🤝 ""Noi ci siamo, stiamo trattando il suo acquisto con l'@Inter""

🎉 ""Che gioia il Doblete. Grande trionfo col @RiverPlate""

Per @TuttoMercatoWeb bella chiacchierata col presidente del @Flamengo, R. Landim ⬇️
https://t.co/7qEpEBAI9R",https://twitter.com/EuclidesFla/status/1200391764097609728
Vitoria_samara0,leymottaa,Em dezembro de 81 🎵.. Quem for FLAMENGO FORTALECE NO RT.. valeu nação ♥️🖤 @GiorgiandeA @Lincoln9 @_gbatista45 @yuricesar007 @Brunohenrique @gabigol @McPozedorodo @mctikao @evertonri @Flamengo @R13_official @mcmaxcachorrao @viniciusjr @danielcabral5_ @ReinierJesus_10 https://t.co/MQlYb5p86F,https://twitter.com/Vitoria_samara0/status/1200418871175458820
b_barbosa7,crfdanf,"@PoetasFla @gabigol DALE DALE GABIGOOL, ASSINA LOGO COM FLAMENGO",https://twitter.com/b_barbosa7/status/1200418455175995396
ferrazzferreira,Flamengo,O nosso artilheiro está por aqui! @gabigol #OBrasileiroJáGanhamos7 #FLAxCEA https://t.co/x8qZCbC4gl,https://twitter.com/ferrazzferreira/status/1200418127760281604
JulianaSOCB,felice_stein,Se eu fosse o gabigol só sairia (se fosse sair né) do flamengo depois de bater o recorde do Zico,https://twitter.com/JulianaSOCB/status/1200417186923393024
juniorcardosoms,EuclidesFla,"Oh gloria, meu presente de final de ano @Flamengo , compra do @gabigol e renovação do JJ, nunca te pedi na flamengo, por favor hein https://t.co/AkzTtWZVOz",https://twitter.com/juniorcardosoms/status/1200414796807585792
Walisoon_,CaaioCavalcante,Achei a inspiração do @gabigol 👏🏽👏🏽👏🏽 @CantorBelo #Flamengo https://t.co/Hw3rbXQIIE,https://twitter.com/Walisoon_/status/1200413996454744064
Michaelecrf4,crfdanf,"@PoetasFla @gabigol DALE DALE GABIGOOL, ASSINA LOGO COM FLAMENGO",https://twitter.com/Michaelecrf4/status/1200412170024050689
cariocaaa33,futebol_info,"Os únicos titulares q o Flamengo descansou foi os laterais que tinham pouca condição de jogo pela idade, pablo mari que teve uma entorse, gerson q sentiu a perna na final e msm assim entrou e o gabigol estava suspenso https://t.co/8if6Ei1qKc",https://twitter.com/cariocaaa33/status/1200407202101682176
MrFlavio17,Mauricioricao,A favela venceu !!!! @gabigol @Flamengo @rafa05costa @TozzaFla @PaparazzoRN @benjaminback @fladaniel_ @FoxSportsBrasil @ribasdiego10 https://t.co/n1OA3sDHVC,https://twitter.com/MrFlavio17/status/1200407664297152512
flany1895,bianquinhahCRF,"@Brasileirao @Flamengo Vamos votar no Éverton, o gabigol já vai ser o artilheiro e o BH já ganhou da América",https://twitter.com/flany1895/status/1200407160087121921
TrickCRF,Flamengo,Aquele registro com o artilheiro @gabigol! #OBrasileiroJáGanhamos7 https://t.co/pfzBDhGd8n,https://twitter.com/TrickCRF/status/1200404238544842752
TrickCRF,Flamengo,O nosso artilheiro está por aqui! @gabigol #OBrasileiroJáGanhamos7 #FLAxCEA https://t.co/x8qZCbC4gl,https://twitter.com/TrickCRF/status/1200405217830940673
_DeoclecioJr,CaaioCavalcante,Achei a inspiração do @gabigol 👏🏽👏🏽👏🏽 @CantorBelo #Flamengo https://t.co/Hw3rbXQIIE,https://twitter.com/_DeoclecioJr/status/1200403730497200130
franciine14,franciine14,"Mano minha filha é de mas, ela falou ""mãe me grava cantando pro @gabigol "" eu fui e gravei kkk tive que dá umas editadas pq ela adora uma palhaçada kkkk..
🥰⚫🔴. @Flamengo https://t.co/3QafickrAl",https://twitter.com/franciine14/status/1200401772684234752
jordanaqfg,felice_stein,Se eu fosse o gabigol só sairia (se fosse sair né) do flamengo depois de bater o recorde do Zico,https://twitter.com/jordanaqfg/status/1200400120786890752
esthrrd,Flamengo,sem duvidas a melhor versão do gabigol e do bh 🤧🥰 https://t.co/MrpHN6hbV6,https://twitter.com/esthrrd/status/1200399259968901120
