source,target,text,url
talitapqs,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/talitapqs/status/1200420071463632896
Celinofutsal03,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/Celinofutsal03/status/1200393586166157312
FlamengueiroPB,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/FlamengueiroPB/status/1200392790628282368
_jota08,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/_jota08/status/1200420044313894912
crf_marianna1,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/crf_marianna1/status/1200419069293400065
MaaatheusCRF,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/MaaatheusCRF/status/1200420038727127041
almeid_jersey,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/almeid_jersey/status/1200420032200806400
alefelix78,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/alefelix78/status/1200401778468106240
alefelix78,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/alefelix78/status/1200404702636257280
alefelix78,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/alefelix78/status/1200404608608342016
SanfonVinicius,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/SanfonVinicius/status/1200419816949071873
Gklopes3,Flamengo,"😎😂🏆

📷: Marcelo Cortes/Flamengo https://t.co/zA0f6or0JE",https://twitter.com/Gklopes3/status/1200420008670760960
nbhdjauregay,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/nbhdjauregay/status/1200419986084388865
ViniCRF1287,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/ViniCRF1287/status/1200414835013509120
